federation_code,first_name,last_name,no,nationality,gender
USA,Steve,Anderson,100331,,0
USA,"Scott ""Ack""",Ayakatubby,100332,,0
USA,Dain,Blanton,100334,,0
USA,Aaron,Boss,100335,,0
USA,Patrick,Boyle,100336,,0
USA,Toby,Braun,100337,,0
USA,Christopher,Butts,100338,,0
USA,Jon,Andersen,100339,,0
USA,Mark,Andersen,100340,,0
USA,John,Anselmo,100341,,0
USA,Michael,Barnes,100342,,0
USA,Kurt,Blanton,100343,,0
USA,William Lee,Bradford,100345,,0
USA,"William ""Bill""",Brown,100346,,0
USA,Steve,Byrd,100347,,0
USA,Ed,Carrillo,100348,,0
USA,Rick,Arce,100349,,0
USA,Robert,Baker,100350,,0
USA,Michael,Boehle,100352,,0
USA,Ron,Van Browning,100355,,0
CUB,Daniel,Cardenas,100356,,0
USA,Robert,Chavez,100357,,0
AUS,"Annette ""H.T.""",Huygens Tholen,100358,,1
USA,Chris,Warshaw,100359,,0
USA,Tim,Walston,100360,,0
USA,Kevin T.,Waterbury,100361,,0
USA,Tate,Walthall,100362,,0
USA,Wes,Welch,100363,,0
USA,Jeff,West,100364,,0
USA,"Mike ""Whit""",Whitmarsh,100365,,0
USA,Gale,Wilson II,100366,,0
USA,"Eric ""Rocket Squirrel""",Wurts,100367,,0
USA,Christopher J.,Young  SUSPENDED,100368,,0
USA,Ian,Clark,100370,,0
AUS,"Kerri-Ann ""Kez""",Pottharst,100371,,1
USA,Kevin,Cleary,100372,,0
USA,Michael,Clough,100373,,0
USA,Neil,Coffmann,100374,,0
USA,Rick,Colson,100375,,0
USA,Brent,Couture,100377,,0
USA,Anthony,Curel,100378,,0
USA,Dean,Cunningham,100379,,0
USA,Shawn,Davis,100380,,0
USA,Sean Charles,Donlon,100381,,0
USA,Kurt D.,Dumm,100382,,0
USA,Marcelo,Duarte,100383,,0
USA,Douglas,Emich,100384,,0
USA,Eric,Etebari,100385,,0
USA,Tagore,Evans,100386,,0
USA,"Sean ""Fallow""",Fallowfield,100387,,0
USA,James,Fellows,100388,,0
USA,Kennedy,Fernandez,100389,,0
USA,Mike,Fitzgerald,100391,,0
USA,Stephen,Florentine,100392,,0
USA,Eric,Fonoimoana,100393,,0
USA,Kirk,Fonoimoana,100394,,0
USA,Toa,Fonoimoana,100395,,0
USA,Jeffrey,Galicki,100398,,0
MEX,"Michael ""Mike""",Garcia Jurado,100399,,0
USA,Marin,Gjaja,100400,,0
USA,Barton,Goetz,100401,,0
USA,Brett,Gonnerman,100402,,0
USA,"Gerald ""Jerry""",Graham,100403,,0
USA,"Richard ""R.D.""",Gray,100404,,0
USA,Curtis,Griffin,100405,,0
USA,Rico,Gulmaraes,100406,,0
USA,John M.,Hanley,100407,,0
USA,Barry,Hanna,100408,,0
ASA,"Albert ""Samoan Ninja""",Hannemann,100409,,0
USA,Dane,Hansen,100410,,0
USA,Jay,Hanseth,100411,,0
USA,"Leif ""H""",Hanson,100412,,0
USA,Thomas J.,Harrer,100413,,0
USA,"Robert ""Rob""",Heidger,100414,,0
USA,Carl John,Henkel,100415,,0
USA,James,Higginbotham,100416,,0
USA,Mark,Higginson,100417,,0
USA,"Daxton ""Dax""",Holdren,100418,,0
FIN,Petri,Sainio,100420,,0
FIN,"Janne ""Elmu""",Pulkkinen,100421,,0
CHI,Gustavo,Ohlsson,100422,,0
CHI,"Rodrigo Alberto ""Yoyo""",Grimalt,100423,,0
CUB,Gonzalo Manuel,Torres,100424,,0
USA,Todd,Rogers,100425,,0
BRA,"José Marco ""Zé Marco""",Nóbrega Ferreira de Melo,100426,,0
BRA,Emanuel,Rego,100427,,0
BRA,Aloizio,Claudino,100428,,0
BRA,Dennys,Paredes Gomes,100429,,0
BRA,Everaldo,Alves Junior,100430,,0
USA,Thomas J.,Rogers,100431,,0
FRA,David Glen,Rottman,100432,,0
USA,Todd,Schaefer,100433,,0
USA,Thomas G.,Schultz,100434,,0
USA,Bryan,Sheehan,100436,,0
USA,Andrew,Smith,100438,,0
USA,David,Smith,100439,,0
USA,Sean,Smith,100440,,0
USA,Michael or Mike,Stafford,100441,,0
USA,Matt,Sonnichsen,100442,,0
USA,"Jeff ""Southy""",Southcott,100443,,0
USA,Burt,Stefko,100444,,0
USA,David,Swatik,100445,,0
USA,Adam,Unger,100446,,0
USA,Bruk,Vandeweghe,100447,,0
