code,name,start_date,end_date,no,version
BVB-TUA2019,Tuan Chau Island,2019-05-09,2019-05-12,705,10253.0
BVB-ITA2019,Itapema,2019-05-15,2019-05-19,706,10990.0
BVB-JIN2019,Jinjiang,2019-05-22,2019-05-26,707,10331.0
BVB-MAN2019,Boracay,2019-05-23,2019-05-26,708,10282.0
BVB-OST2019,Ostrava,2019-05-29,2019-06-02,709,10346.0
BVB-NAN2019,Nanjing,2019-06-06,2019-06-09,710,10327.0
BVB-ALE2019,Alexandria (CANCELED),2019-06-05,2019-06-09,711,13455.0
BVB-SIN2019,Singapore (cancelled),2019-06-06,2019-06-09,712,9861.0
BVB-WAR2019,Warsaw,2019-06-12,2019-06-16,713,10384.0
BVB-NAT2019,Nantong,2019-05-30,2019-06-02,714,10321.0
BVB-ROM2019,Rome (World Tour Finals),2019-09-04,2019-09-08,715,10891.0
BVB-WCH2019,2019 FIVB Beach Volleyball World Championships,2019-06-28,2019-07-07,716,10447.0
BVB-QID2019,Qidong,2019-07-04,2019-07-07,717,10415.0
BVB-GST2019,Gstaad,2019-07-09,2019-07-14,718,11185.0
BVB-DAE2019,Daegu,2019-07-11,2019-07-14,719,10417.0
BVB-EDM2019,Edmonton,2019-07-17,2019-07-21,720,10639.0
BVB-ESP2019,Espinho,2019-07-17,2019-07-21,721,11178.0
BVB-ULS2019,Ulsan,2019-07-18,2019-07-21,722,10052.0
BVB-TOK2019,Tokyo,2019-07-24,2019-07-28,723,10627.0
BVB-VIE2019,Vienna,2019-07-31,2019-08-04,724,10737.0
BVB-MOS2019,Moscow,2019-08-14,2019-08-18,725,10777.0
BVB-SAL2019,Salalah,2019-08-24,2019-08-27,726,10794.0
BVB-RUB2019,Rubavu,2019-08-21,2019-08-24,727,10817.0
BVB-LJB2018,Ljubljana Winter edition,2018-11-29,2018-12-02,729,10025.0
BVB-U212019,FIVB Under 21 Beach World Championship,2019-06-18,2019-06-23,737,10414.0
BVB-ZHO2019,Zhongwei ,2019-08-22,2019-08-25,780,10750.0
BVB-BDE2019,Beach Volleyball Baden Open presented by Sport.Land.Nö,2019-06-08,2019-06-10,781,10224.0
BVB-KNO2019,World Tour 1* Knokke-Heist,2019-08-16,2019-08-18,782,10797.0
BVB-VAD2019,Beacharena Vaduz,2019-08-09,2019-08-11,783,10743.0
BVB-MAL2019,Malbork,2019-08-01,2019-08-04,784,10745.0
BVB-LJU2019,World Tour 1* Ljubljana,2019-08-02,2019-08-04,785,10660.0
BVB-OQT2019,Olympic Qualification Tournament ,2019-09-18,2019-09-22,787,10908.0
BVB-AYD2019,Aydin,2019-05-16,2019-05-19,806,10278.0
BVB-IOS2019,Ios Island,2019-06-14,2019-06-16,807,10370.0
BVB-ALB2019,Alba Adriatica,2019-07-12,2019-07-14,808,10451.0
BVB-PIN2019,Pinarella Di Cervia,2019-07-25,2019-07-28,809,10670.0
BVB-CCR1B19,CEV Continental Cup Phase 1 - Pool B ,2019-05-25,2019-05-26,817,10342.0
CEV-BVB-U182019,CEV U18 ECH - Baden,2019-06-12,2019-06-16,820,1.0
VB-AF-SAL2019,1st African Beach Games - Cape Verde - 2019,2019-06-19,2019-06-23,822,1.0
BVB-JUR2019,Jurmala Open,2019-08-22,2019-08-25,825,10821.0
BVB-QIN2019,Qinzhou Open,2019-10-30,2019-11-03,827,11034.0
BVB-QAT2019,Aspire Beach Volleyball Cup Doha,2019-11-12,2019-11-15,828,11027.0
BVB-CHE2019,Chetumal Open,2019-11-13,2019-11-17,829,11724.0
BVB-BUD2019,Budapest,2019-08-08,2019-08-11,830,10761.0
BVB-OSL2019,Oslo,2019-08-28,2019-09-01,831,10840.0
BVB-MON2019,Montpellier,2019-08-27,2019-08-31,832,11523.0
CEV-BVB-ECH2019,2019 CEV European Championships,2019-08-06,2019-08-11,833,10749.0
BVB-AF-AAG2019,12th All African Games,2019-08-16,2019-08-23,836,1.0
BVB-TOR2019,Bandar Torkaman,2019-10-01,2019-10-04,838,11022.0
BVB-MBG2019,2019 Mediterranean Games,2019-08-27,2019-08-29,840,10929.0
BVB-ANOC-BEACH-2019,BVB 4x4 ANOC WORLD BEACH GAMES 2019 ,2019-10-12,2019-10-16,845,1.0
BVB-TEL2019,Tel Aviv,2019-11-07,2019-11-09,846,11114.0
BVB-QES2020,Qeshm,2020-01-07,2020-01-10,848,11273.0
BVB-COK2020,Cook Islands,2020-01-14,2020-01-17,849,11263.0
BVB-BAN2020,Bandar Abbas (POSTPONED),2020-03-03,2020-03-07,850,11382.0
BVB-SIE2020,Siem Reap,2020-02-06,2020-02-09,851,11350.0
BVB-PHN2020,Phnom Penh,2020-02-20,2020-02-23,852,11380.0
BVB-GUA2020,Guam,2020-03-05,2020-03-08,853,11412.0
BVB-SYD2020,"Coolangatta Beach, Gold Coast (Cancelled) ",2020-03-18,2020-03-22,854,11637.0
BVB-VIS2020,Visakhapatnam,2020-02-27,2020-03-01,855,1.0
BVB-ARG2020,Argentina (Canceled),2020-03-05,2020-03-08,856,11214.0
BVB-DOH2020,Doha,2020-03-09,2020-03-13,857,11436.0
BVB-LAN2020,Langkawi,2020-03-12,2020-03-15,858,11494.0
BVB-CAN2020,Cancun (Cancelled for 2020),2020-03-25,2020-03-29,859,11648.0
BVB-MAN2020,Boracay (Cancelled) ,2020-03-26,2020-03-29,860,11483.0
BVB-SAT2020,Satun (Postponed_Date TBD),2020-04-08,2020-04-11,861,11493.0
BVB-SIN2020,Singapore (Canceled) ,2020-04-15,2020-04-19,862,11353.0
BVB-YAN2020,Yangzhou (Cancelled),2020-04-22,2020-04-26,863,11635.0
BVB-XIA2020,Siming (Canceled),2020-04-29,2020-05-03,864,11385.0
BVB-ITA2020,Itapema (Cancelled),2020-05-06,2020-05-10,865,11509.0
BVB-JUR2020,Jurmala (cancelled),2020-05-06,2020-05-10,866,11636.0
