no,code,name,bracket,NoTournament_id
55109,PA,Pool A,A,4350
55110,PB,Pool B,B,4350
55111,PC,Pool C,C,4350
55112,PD,Pool D,D,4350
55113,PE,Pool E,E,4350
55114,PF,Pool F,F,4350
55115,PG,Pool G,G,4350
55116,PH,Pool H,H,4350
55117,I,Round of 16,W,4350
55118,II,Quarterfinals,W,4350
55119,SF,Semifinals,S,4350
55120,F3,Final 3rd Place,F,4350
55121,F1,Final 1st Place,F,4350
55247,PA,Pool A,A,4351
55248,PB,Pool B,B,4351
55249,PC,Pool C,C,4351
55250,PD,Pool D,D,4351
55251,PE,Pool E,E,4351
55252,PF,Pool F,F,4351
55253,R16,Semifinals,W,4351
55254,QF,Quarterfinals,W,4351
55255,SF,Semifinals,S,4351
55256,F3,Final 3rd Place,F,4351
55257,F1,Final 1st Place,F,4351
55262,I,Round 1,W,4383
55267,I,Round 1,W,4382
55268,II,Round 2,W,4382
55269,I,Round 1,W,4383
55270,II,Round 2,W,4383
55271,SF,Semifinals,W,4383
55272,F3,Final 3rd Place,F,4383
55273,F1,Final 1st Place,F,4383
55279,I,Round 1,W,4229
55280,II,Round 2,W,4229
55281,SF,Semifinals,W,4229
55282,F3,Final 3rd Place,F,4229
55283,F1,Final 1st Place,F,4229
55284,I,Round 1,W,4228
55285,II,Round 2,W,4228
55286,SF,Semifinals,W,4228
55287,F3,Final 3rd Place,F,4228
55288,F1,Final 1st Place,F,4228
55289,I,Round 1,W,4382
55290,II,Round 2,W,4382
55291,SF,Semifinals,W,4382
55292,F3,Final 3rd Place,F,4382
55293,F1,Final 1st Place,F,4382
55294,I,Round 1,W,4399
55295,II,Round 2,W,4399
55296,R13,Loser are ranked 13th,L,4399
55297,R9,Loser are ranked 9th,L,4399
55298,III,Round 3,W,4399
55299,R7,Loser are ranked 7th,L,4399
55300,R5,Loser are ranked 5th,L,4399
55301,SF,Semifinals,W,4399
55302,F3,Final 3rd Place,F,4399
55303,F1,Final 1st Place,F,4399
55324,I,Round 1,W,4400
55325,II,Round 2,W,4400
55326,R13,Loser are ranked 13th,L,4400
55327,R9,Loser are ranked 9th,L,4400
55328,III,Round 3,W,4400
55329,R7,Loser are ranked 7th,L,4400
55330,R5,Loser are ranked 5th,L,4400
55331,SF,Semifinals,W,4400
55332,F3,Final 3rd Place,F,4400
55333,F1,Final 1st Place,F,4400
55475,I,Round 1,W,4384
55476,II,Round 2,W,4384
55477,I,Round 1,W,4385
55478,II,Round 2,W,4385
55512,PA,Pool A,A,4384
55513,PB,Pool B,B,4384
55514,PC,Pool C,C,4384
55515,PD,Pool D,D,4384
55516,PE,Pool E,E,4384
55517,PF,Pool F,F,4384
55518,R16,Round of 16,W,4384
55519,QF,Quarterfinals,W,4384
55520,SF,Semifinals,S,4384
55521,F3,Final 3rd Place,F,4384
55522,F1,Final 1st Place,F,4384
55534,PA,Pool A,A,4385
55535,PB,Pool B,B,4385
55536,PC,Pool C,C,4385
55537,PD,Pool D,D,4385
55538,PE,Pool E,E,4385
55539,PF,Pool F,F,4385
55540,R16,Round of 16,W,4385
55541,QF,Quarterfinals,W,4385
55542,SF,Semifinals,S,4385
55543,F3,Final 3rd Place,F,4385
55544,F1,Final 1st Place,F,4385
55590,I,Round 1,W,4415
55591,II,Round 2,W,4415
55592,SF,Semifinals,W,4415
55593,F3,Final 3rd Place,F,4415
55594,F1,Final 1st Place,F,4415
55600,PA,Pool A,A,4476
55601,I,Round 1,W,4476
55602,SF,Semifinals,S,4476
55603,F5,Final 5th Place,F,4476
55604,F3,Final 3rd Place,F,4476
55605,F1,Final 1st Place,F,4476
55606,PA,Pool A,A,4477
55607,I,Round 1,W,4477
55608,SF,Semifinals,S,4477
55609,F5,Final 5th Place,F,4477
55610,F3,Final 3rd Place,F,4477
55611,F1,Final 1st Place,F,4477
55612,I,Round 1,W,4416
55613,II,Round 2,W,4416
55614,SF,Semifinals,W,4416
55615,F3,Final 3rd Place,F,4416
55616,F1,Final 1st Place,F,4416
55630,PA,Pool A,A,4347
55631,F1,Final 1st Place,F,4347
55632,PA,Pool A,A,4346
55633,PB,Pool B,B,4346
55634,I,Round 1,W,4346
55635,SF,Semifinals,S,4346
55636,F3,Final 3rd Place,F,4346
55637,F1,Final 1st Place,F,4346
55709,PA,Pool A,A,4345
55710,PB,Pool B,B,4345
55711,SF,Semifinals,S,4345
55712,F3,Final 3rd Place,F,4345
55713,F1,Final 1st Place,F,4345
55735,PA,Pool A,A,4344
55736,PB,Pool B,B,4344
55737,PC,Pool C,C,4344
55738,R6,Round of 6,W,4344
55739,SF,Semifinals,S,4344
55740,F3,Final 3rd Place,F,4344
55741,F1,Final 1st Place,F,4344
55753,I,Round 1,W,4481
55754,II,Round 2,W,4481
55755,I,Round 1,W,4481
55756,II,Round 2,W,4481
55757,R13,Loser are ranked 13th,L,4481
55758,R9,Loser are ranked 9th,L,4481
55759,III,Round 3,W,4481
55760,R7,Loser are ranked 7th,L,4481
55761,R5,Loser are ranked 5th,L,4481
55762,SF,Semifinals,W,4481
55763,F3,Final 3rd Place,F,4481
55764,F1,Final 1st Place,F,4481
55785,I,Round 1,W,4480
55786,II,Round 2,W,4480
55787,R13,Loser are ranked 13th,L,4480
55788,R9,Loser are ranked 9th,L,4480
55789,III,Round 3,W,4480
55790,R7,Loser are ranked 7th,L,4480
55791,R5,Loser are ranked 5th,L,4480
55792,SF,Semifinals,W,4480
55793,F3,Final 3rd Place,F,4480
55794,F1,Final 1st Place,F,4480
55807,BRA,Country quota for BRA,,4402
55808,USA,Country quota for USA,,4402
55810,I,Round 1,W,4401
55811,II,Round 2,W,4401
55812,PA,Pool A,A,4401
55813,PB,Pool B,B,4401
55814,PC,Pool C,C,4401
55815,PD,Pool D,D,4401
55816,PE,Pool E,E,4401
55817,PF,Pool F,F,4401
55818,PG,Pool G,G,4401
55819,PH,Pool H,H,4401
55820,I,Round 1,W,4401
55821,II,Round 2,W,4401
55822,III,Round 3,W,4401
55823,SF,Semifinals,S,4401
55824,F3,Final 3rd Place,F,4401
55825,F1,Final 1st Place,F,4401
55826,I,Round 1,W,4402
55827,II,Round 2,W,4402
55856,PA,Pool A,A,4402
55857,PB,Pool B,B,4402
55858,PC,Pool C,C,4402
55859,PD,Pool D,D,4402
55860,PE,Pool E,E,4402
55861,PF,Pool F,F,4402
55862,PG,Pool G,G,4402
55863,PH,Pool H,H,4402
55864,I,Round 1,W,4402
55865,II,Round 2,W,4402
55866,III,Round 3,W,4402
55867,SF,Semifinals,S,4402
55868,F3,Final 3rd Place,F,4402
55869,F1,Final 1st Place,F,4402
55954,I,Round 1,W,4508
55955,II,Round 2,W,4508
55956,R9,Loser are ranked 9th,L,4508
55957,III,Round 3,W,4508
55958,R7,Loser are ranked 7th,L,4508
55959,R5,Loser are ranked 5th,L,4508
55960,SF,Semifinals,W,4508
55961,F3,Final 3rd Place,F,4508
55962,F1,Final 1st Place,F,4508
55984,PA,Pool A,A,4386
55985,PB,Pool B,B,4386
55986,PC,Pool C,C,4386
55987,PD,Pool D,D,4386
55988,QF,Quarterfinals,W,4386
55989,SF,Semifinals,S,4386
55990,F3,Final 3rd Place,F,4386
55991,F1,Final 1st Place,F,4386
56001,I,Round 1,W,4509
56002,II,Round 2,W,4509
56003,R9,Loser are ranked 9th,L,4509
56004,III,Round 3,W,4509
56005,R7,Loser are ranked 7th,L,4509
56006,R5,Loser are ranked 5th,L,4509
56007,SF,Semifinals,W,4509
56008,F3,Final 3rd Place,F,4509
56009,F1,Final 1st Place,F,4509
56026,I,Round 1,W,4404
56027,II,Round 2,W,4404
56028,PA,Pool A,A,4494
56029,PB,Pool B,B,4494
56030,PC,Pool C,C,4494
56031,PD,Pool D,D,4494
56032,QF,Quarterfinals,W,4494
56033,SF,Semifinals,S,4494
56034,F3,Final 3rd Place,F,4494
56035,F1,Final 1st Place,F,4494
56036,I,Round 1,W,4403
56037,II,Round 2,W,4403
56066,I,Round 1,W,4482
56067,II,Round 2,W,4482
56068,R13,Loser are ranked 13th,L,4482
56069,R9,Loser are ranked 9th,L,4482
56070,III,Round 3,W,4482
56071,R7,Loser are ranked 7th,L,4482
56072,R5,Loser are ranked 5th,L,4482
56073,SF,Semifinals,W,4482
56074,F3,Final 3rd Place,F,4482
56075,F1,Final 1st Place,F,4482
56085,I,Round 1,W,4483
56086,II,Round 2,W,4483
56087,R9,Loser are ranked 9th,L,4483
56088,III,Round 3,W,4483
56089,R7,Loser are ranked 7th,L,4483
56090,R5,Loser are ranked 5th,L,4483
56091,SF,Semifinals,W,4483
56092,F3,Final 3rd Place,F,4483
56093,F1,Final 1st Place,F,4483
56121,PA,Pool A,A,4403
56122,PB,Pool B,B,4403
56123,PC,Pool C,C,4403
56124,PD,Pool D,D,4403
56125,R12,Round of 12,W,4403
