no,code,name,bracket,NoTournament_id
21457,PF,Pool F,F,1979
21458,PA,Pool A,A,1979
21459,S,Semi-finals,S,1979
21460,PD,Pool D,D,1979
21461,II,Round 2,W,1979
21462,I,Round 1,W,1979
21463,PG,Pool G,G,1979
21464,PB,Pool B,B,1979
21465,I,Round 1,W,1979
21466,PH,Pool H,H,1979
21467,PE,Pool E,E,1979
21468,III,Round 3,W,1979
21469,PC,Pool C,C,1998
21470,II,Round 2,W,1998
21471,PB,Pool B,B,1998
21472,F1,Final 1st Place,F,1998
21473,PF,Pool F,F,1998
21474,III,Round 3,W,1998
21475,S,Semi-finals,S,1998
21476,PD,Pool D,D,1998
21477,II,Round 2,W,1998
21478,PE,Pool E,E,1998
21479,PA,Pool A,A,1998
21480,I,Round 1,W,1998
21481,I,Round 1,W,1998
21482,III,Round 3,W,1998
21483,F3,Final 3rd Place,F,1998
21484,PC,Pool C,C,1999
21485,II,Round 2,W,1999
21486,PB,Pool B,B,1999
21487,F1,Final 1st Place,F,1999
21488,PF,Pool F,F,1999
21489,III,Round 3,W,1999
21490,S,Semi-finals,S,1999
21491,PD,Pool D,D,1999
21492,II,Round 2,W,1999
21493,PE,Pool E,E,1999
21494,PA,Pool A,A,1999
21495,I,Round 1,W,1999
21496,I,Round 1,W,1999
21497,III,Round 3,W,1999
21498,F3,Final 3rd Place,F,1999
21499,PC,Pool C,C,2000
21500,II,Round 2,W,2000
21501,PB,Pool B,B,2000
21502,F1,Final 1st Place,F,2000
21503,PF,Pool F,F,2000
21504,III,Round 3,W,2000
21505,S,Semi-finals,S,2000
21506,PD,Pool D,D,2000
21507,II,Round 2,W,2000
21508,PE,Pool E,E,2000
21509,PA,Pool A,A,2000
21510,I,Round 1,W,2000
21511,I,Round 1,W,2000
21512,III,Round 3,W,2000
21513,F3,Final 3rd Place,F,2000
21514,PC,Pool C,C,2001
21515,II,Round 2,W,2001
21516,PB,Pool B,B,2001
21517,F1,Final 1st Place,F,2001
21518,PF,Pool F,F,2001
21519,III,Round 3,W,2001
21520,S,Semi-finals,S,2001
21521,PD,Pool D,D,2001
21522,II,Round 2,W,2001
21523,PE,Pool E,E,2001
21524,PA,Pool A,A,2001
21525,I,Round 1,W,2001
21526,I,Round 1,W,2001
21527,III,Round 3,W,2001
21528,F3,Final 3rd Place,F,2001
21529,PC,Pool C,C,2008
21530,II,Round 2,W,2008
21531,F3,Final 3rd Place,F,2008
21532,F1,Final 1st Place,F,2008
21533,PF,Pool F,F,2008
21534,PA,Pool A,A,2008
21535,S,Semi-finals,S,2008
21536,PD,Pool D,D,2008
21537,II,Round 2,W,2008
21538,I,Round 1,W,2008
21539,PG,Pool G,G,2008
21540,PB,Pool B,B,2008
21541,I,Round 1,W,2008
21542,PH,Pool H,H,2008
21543,PE,Pool E,E,2008
21544,III,Round 3,W,2008
21545,PC,Pool C,C,2009
21546,II,Round 2,W,2009
21547,F3,Final 3rd Place,F,2009
21548,F1,Final 1st Place,F,2009
21549,PF,Pool F,F,2009
21550,PA,Pool A,A,2009
21551,S,Semi-finals,S,2009
21552,PD,Pool D,D,2009
21553,II,Round 2,W,2009
21554,I,Round 1,W,2009
21555,PG,Pool G,G,2009
21556,PB,Pool B,B,2009
21557,I,Round 1,W,2009
21558,PH,Pool H,H,2009
21559,PE,Pool E,E,2009
21560,III,Round 3,W,2009
21561,PC,Pool C,C,2021
21562,II,Quarterfinals,W,2021
21563,F1,Final 1st Place,F,2021
21564,PA,Pool A,A,2021
21565,F3,Final 3rd Place,F,2021
21566,SF,Semi-finals,W,2021
21567,PD,Pool D,D,2021
21568,II,Quarterfinals,W,2021
21569,PB,Pool B,B,2021
21570,I,Round 1,W,2021
21571,I,Round 1,W,2021
21572,PC,Pool C,C,2022
21573,F1,Final 1st Place,F,2022
21574,PA,Pool A,A,2022
21575,F3,Final 3rd Place,F,2022
21576,SF,Semi-finals,W,2022
21577,PD,Pool D,D,2022
21578,II,Quarterfinals,W,2022
21579,PB,Pool B,B,2022
21580,I,Round 1,W,2022
21581,I,Round 1,W,2022
21582,R7,Loser are ranked 7th,L,2023
21583,II,Round 2,W,2023
21584,AUT,Country quota for AUT,,2023
21585,SF,Semi-finals,W,2023
21586,III,Round 3,W,2023
21587,R9,Loser are ranked 9th,L,2023
21588,R5,Loser are ranked 5th,L,2023
21589,GER,Country quota for GER,,2023
21590,R13,Loser are ranked 13th,L,2023
21592,II,Round 2,W,2023
21593,I,Round 1,W,2023
21594,I,Round 1,W,2023
21596,R7,Loser are ranked 7th,L,2024
21597,II,Round 2,W,2024
21599,SF,Semi-finals,W,2024
21600,III,Round 3,W,2024
21601,R5,Loser are ranked 5th,L,2024
21603,GER,Country quota for GER,,2024
21604,R9,Loser are ranked 9th,L,2024
21605,R13,Loser are ranked 13th,L,2024
21606,II,Round 2,W,2024
21607,I,Round 1,W,2024
21608,I,Round 1,W,2024
21609,F1,Final 1st Place,F,2024
21610,F3,Final 3rd Place,F,2024
21611,F1,Final 1st Place,F,2023
21612,F3,Final 3rd Place,F,2023
21613,PC,Pool C,C,2046
21614,F3,Final 3rd Place,F,2046
21615,F1,Final 1st Place,F,2046
21616,PF,Pool F,F,2046
21617,PA,Pool A,A,2046
21618,S,Semi-finals,S,2046
21619,PD,Pool D,D,2046
21620,II,Round of 16,W,2046
21621,PB,Pool B,B,2046
21622,I,Round of 24,W,2046
21623,PE,Pool E,E,2046
21624,III,Quarterfinals,W,2046
21625,PC,Pool C,C,2047
21626,F3,Final 3rd Place,F,2047
21627,F1,Final 1st Place,F,2047
21628,PF,Pool F,F,2047
21629,PA,Pool A,A,2047
21630,S,Semi-finals,S,2047
21631,PD,Pool D,D,2047
21632,II,Round of 16,W,2047
21633,PB,Pool B,B,2047
21634,I,Round of 24,W,2047
21635,PE,Pool E,E,2047
21636,III,Quarterfinals,W,2047
21637,R5,Loser are ranked 5th,L,2461
21638,II,Round 2,W,2461
21639,R7,Loser are ranked 7th,L,2461
21640,SF,Semi-finals,W,2461
21641,F1,Final 1st Place,F,2461
21642,F3,Final 3rd Place,F,2461
21643,R9,Loser are ranked 9th,L,2461
21644,III,Round 3,W,2461
21645,I,Round 1,W,2461
21647,R5,Loser are ranked 5th,L,2462
21648,II,Round 2,W,2462
21649,R7,Loser are ranked 7th,L,2462
21650,SF,Semi-finals,W,2462
21651,F1,Final 1st Place,F,2462
21652,F3,Final 3rd Place,F,2462
21653,R9,Loser are ranked 9th,L,2462
21654,III,Round 3,W,2462
21655,I,Round 1,W,2462
21673,I,Round 1,W,1981
21674,II,Round 2,W,1981
21675,PA,Pool A,A,1981
21676,PB,Pool B,B,1981
21677,PC,Pool C,C,1981
21678,PD,Pool D,D,1981
21679,PE,Pool E,E,1981
21680,PF,Pool F,F,1981
21681,PG,Pool G,G,1981
21682,PH,Pool H,H,1981
21683,I,Round 1,W,1981
21684,II,Round 2,W,1981
21685,III,Round 3,W,1981
21686,S,Semi-finals,S,1981
21687,F3,Final 3rd Place,F,1981
21688,F1,Final 1st Place,F,1981
21689,PC,Pool C,C,1980
21691,F3,Final 3rd Place,F,1980
21692,F1,Final 1st Place,F,1980
21693,PF,Pool F,F,1980
21694,PA,Pool A,A,1980
21695,S,Semi-finals,S,1980
21696,PD,Pool D,D,1980
21697,II,Round 2,W,1980
21699,PG,Pool G,G,1980
21700,PB,Pool B,B,1980
21701,I,Round 1,W,1980
21702,PH,Pool H,H,1980
21703,PE,Pool E,E,1980
21704,III,Round 3,W,1980
21705,I,Round 1,W,1980
21706,II,Round 2,W,1980
21707,S,Semi-finals,S,2025
21708,F5,Final 5th Place,F,2025
21709,I,Round 1,W,2025
21710,PC,Pool C,C,2025
21711,F3,Final 3rd Place,F,2025
21712,LS,Loser Round,LS,2025
21713,PF,Pool F,F,2025
21714,PA,Pool A,A,2025
21715,III,Round 3,W,2025
21716,F1,Final 1st Place,F,2025
21717,II,Round 2,W,2025
21718,PD,Pool D,D,2025
21719,PG,Pool G,G,2025
21720,PB,Pool B,B,2025
21721,F7,Final 7th Place,F,2025
21722,PE,Pool E,E,2025
21723,PH,Pool H,H,2025
21724,S,Semi-finals,S,2026
21725,F5,Final 5th Place,F,2026
21726,I,Round 1,W,2026
21727,PC,Pool C,C,2026
21728,F3,Final 3rd Place,F,2026
21729,LS,Loser Round,LS,2026
21730,PF,Pool F,F,2026
21731,PA,Pool A,A,2026
21732,III,Round 3,W,2026
21733,F1,Final 1st Place,F,2026
21734,II,Round 2,W,2026
21735,PD,Pool D,D,2026
21736,PG,Pool G,G,2026
21737,PB,Pool B,B,2026
21738,F7,Final 7th Place,F,2026
21739,PE,Pool E,E,2026
21740,PH,Pool H,H,2026
21741,PC,Pool C,C,2459
21742,F1,Final 1st Place,F,2459
21743,PA,Pool A,A,2459
21744,F3,Final 3rd Place,F,2459
21745,SF,Semi-finals,W,2459
21746,PD,Pool D,D,2459
21747,II,Quarterfinals,W,2459
21748,PB,Pool B,B,2459
21749,I,Round 1,W,2459
21750,PC,Pool C,C,2458
21751,F1,Final 1st Place,F,2458
21752,PF,Pool F,F,2458
21753,PA,Pool A,A,2458
21754,F3,Final 3rd Place,F,2458
21755,SF,Semi-finals,W,2458
21756,PD,Pool D,D,2458
21757,II,Quarterfinals,W,2458
21758,PG,Pool G,G,2458
21759,PB,Pool B,B,2458
21760,I,Round of 16,W,2458
21761,PH,Pool H,H,2458
21762,PE,Pool E,E,2458
21763,PC,Pool C,C,2460
21764,PA,Pool A,A,2460
21765,F3,Final 3rd Place,F,2460
21766,SF,Semifinals,W,2460
21767,PD,Pool D,D,2460
21768,F1,Final 1st Place,F,2460
21769,PB,Pool B,B,2460
21770,I,Quarterfinals,W,2460
21771,R7,Loser are ranked 7th,L,2354
21772,II,Round 2,W,2354
21773,F1,Final 1st Place,F,2354
21774,III,Round 3,W,2354
21775,R5,Loser are ranked 5th,L,2354
21776,F3,Final 3rd Place,F,2354
21777,SF,Semi-finals,W,2354
21778,R9,Loser are ranked 9th,L,2354
21779,R13,Loser are ranked 13th,L,2354
21780,II,Round 2,W,2354
21781,I,Round 1,W,2354
21782,I,Round 1,W,2354
21783,R7,Loser are ranked 7th,L,2355
21784,F1,Final 1st Place,F,2355
21785,III,Round 3,W,2355
21786,R5,Loser are ranked 5th,L,2355
21787,F3,Final 3rd Place,F,2355
21788,SF,Semi-finals,W,2355
21789,R9,Loser are ranked 9th,L,2355
21790,R13,Loser are ranked 13th,L,2355
21791,II,Round 2,W,2355
21792,I,Round 1,W,2355
21793,I,Round 1,W,2355
21794,PC,Pool C,C,2089
21795,PA,Pool A,A,2089
21796,F3,Final 3rd Place,F,2089
21797,SF,Semi-finals,W,2089
21798,PD,Pool D,D,2089
21799,F1,Final 1st Place,F,2089
21800,PB,Pool B,B,2089
21801,I,Quarterfinals,W,2089
21809,SF,Semifinals,W,2088
21810,F1,Final 1st Place,F,2088
21811,PC,Pool C,C,2088
21812,PB,Pool B,B,2088
21813,PA,Pool A,A,2088
21814,F3,Final 3rd Place,F,2088
21815,I,Quarterfinals,W,2088
21816,R7,Loser are ranked 7th,L,2031
21817,RUS,Country quota for RUS,,2031
21818,AUT,Country quota for AUT,,2031
21819,SF,Semi-finals,W,2031
21820,III,Round 3,W,2031
21821,R5,Loser are ranked 5th,L,2031
21822,F3,Final 3rd Place,F,2031
21823,R9,Loser are ranked 9th,L,2031
21824,R13,Loser are ranked 13th,L,2031
21825,F1,Final 1st Place,F,2031
21826,II,Round 2,W,2031
21827,LAT,Country quota for LAT,,2031
21828,I,Round 1,W,2031
21829,I,Round 1,W,2031
21830,R7,Loser are ranked 7th,L,2362
21831,F3,Final 3rd Place,F,2362
21832,II,Round 2,W,2362
21833,III,Round 3,W,2362
21834,R5,Loser are ranked 5th,L,2362
21835,S,Semi-finals,S,2362
21836,R25,Loser are ranked 25th,L,2362
21837,R13,Loser are ranked 13th,L,2362
21838,R9,Loser are ranked 9th,L,2362
21839,R17,Loser are ranked 17th,L,2362
21840,I,Round 1,W,2362
21841,IIII,Round 4,W,2362
21842,F1,Final 1st Place,F,2362
21843,R7,Loser are ranked 7th,L,2375
21844,F3,Final 3rd Place,F,2375
21845,II,Round 2,W,2375
21846,III,Round 3,W,2375
21847,R5,Loser are ranked 5th,L,2375
21848,S,Semi-finals,S,2375
21849,R13,Loser are ranked 13th,L,2375
21850,R9,Loser are ranked 9th,L,2375
21851,R17,Loser are ranked 17th,L,2375
21852,I,Round 1,W,2375
21853,IIII,Round 4,W,2375
21854,F1,Final 1st Place,F,2375
21855,R7,Loser are ranked 7th,L,2463
21856,II,Round 2,W,2463
21857,III,Round 3,W,2463
21858,R5,Loser are ranked 5th,L,2463
21859,F3,Final 3rd Place,F,2463
21860,SF,Semi-finals,W,2463
21861,R9,Loser are ranked 9th,L,2463
21862,I,Round 1,W,2463
21863,F1,Final 1st Place,F,2463
21864,R7,Loser are ranked 7th,L,2464
21865,II,Round 2,W,2464
21866,III,Round 3,W,2464
21867,R5,Loser are ranked 5th,L,2464
21868,F3,Final 3rd Place,F,2464
21869,SF,Semi-finals,W,2464
21870,R9,Loser are ranked 9th,L,2464
21871,I,Round 1,W,2464
21872,F1,Final 1st Place,F,2464
21873,F1,Final 1st place,F1,2467
21874,SF1,Semifinal 1,SF1,2467
21875,SF2,Semifinal 2,SF2,2467
21876,F4,Loser are ranked 4th,F4,2467
21877,F2,Final 2nd - 3rd place,F2,2467
21878,F1,Final 1st place,F1,2468
21879,SF1,Semifinal 1,SF1,2468
21880,SF2,Semifinal 2,SF2,2468
21881,F4,Loser are ranked 4th,F4,2468
21882,F2,Final 2nd - 3rd place,F2,2468
21883,S,Semi-finals,S,2027
21884,F5,Final 5th Place,F,2027
21885,I,Round 1,W,2027
21886,PC,Pool C,C,2027
21887,F3,Final 3rd Place,F,2027
21888,LS,Loser Round,LS,2027
21889,PF,Pool F,F,2027
21890,PA,Pool A,A,2027
21891,III,Round 3,W,2027
21892,F1,Final 1st Place,F,2027
21893,II,Round 2,W,2027
21894,PD,Pool D,D,2027
21895,PG,Pool G,G,2027
21896,PB,Pool B,B,2027
21897,F7,Final 7th Place,F,2027
21898,PE,Pool E,E,2027
21899,PH,Pool H,H,2027
21900,S,Semi-finals,S,2028
21901,F5,Final 5th Place,F,2028
21902,I,Round 1,W,2028
21903,PC,Pool C,C,2028
21904,F3,Final 3rd Place,F,2028
21905,LS,Loser Round,LS,2028
21906,PF,Pool F,F,2028
21907,PA,Pool A,A,2028
21908,III,Round 3,W,2028
21909,F1,Final 1st Place,F,2028
21910,II,Round 2,W,2028
21911,PD,Pool D,D,2028
21912,PG,Pool G,G,2028
21913,PB,Pool B,B,2028
21914,F7,Final 7th Place,F,2028
21915,PE,Pool E,E,2028
21916,PH,Pool H,H,2028
21917,PC,Pool C,C,2465
21918,PA,Pool A,A,2465
21919,F3,Final 3rd Place,F,2465
21920,SF,Semi-finals,W,2465
21921,PD,Pool D,D,2465
21922,F1,Final 1st Place,F,2465
21923,PB,Pool B,B,2465
21924,I,Quarterfinals,W,2465
21925,PC,Pool C,C,2466
21926,PA,Pool A,A,2466
21927,F3,Final 3rd Place,F,2466
21928,SF,Semifinals,W,2466
21929,PD,Pool D,D,2466
21931,PB,Pool B,B,2466
21932,I,Quarterfinals,W,2466
21933,F1,Final 1st Place,F,2466
21934,II,Quarterfinals,W,2032
21936,I,Round 1,W,2032
21937,SF,Semi-finals,W,2032
21938,F1,Final 1st Place,F,2032
21939,F3,Final 3rd Place,F,2032
21940,PD,Pool D,D,2032
21941,PC,Pool C,C,2032
21942,PB,Pool B,B,2032
21943,PA,Pool A,A,2032
21944,I,Round 1,W,2032
21945,II,Quarterfinals,W,2033
21947,I,Round 1,W,2033
21948,SF,Semi-finals,W,2033
21949,F1,Final 1st Place,F,2033
21950,F3,Final 3rd Place,F,2033
21951,PD,Pool D,D,2033
21952,PC,Pool C,C,2033
21953,PB,Pool B,B,2033
21954,PA,Pool A,A,2033
21955,I,Round 1,W,2033
21956,R7,Loser are ranked 7th,L,2036
21957,AUT,Country quota for AUT,,2036
21958,SF,Semi-finals,W,2036
21959,III,Round 3,W,2036
21960,R5,Loser are ranked 5th,L,2036
21961,F3,Final 3rd Place,F,2036
21962,GER,Country quota for GER,,2036
21963,R9,Loser are ranked 9th,L,2036
21964,R13,Loser are ranked 13th,L,2036
21965,II,Round 2,W,2036
21966,I,Round 1,W,2036
21967,F1,Final 1st Place,F,2036
21968,I,Round 1,W,2036
21975,GER,Country quota for GER,,2037
21980,I,Round 1,W,2037
22011,I,Round 1,W,2037
22012,II,Round 2,W,2037
22013,R13,Loser are ranked 13th,L,2037
22014,R9,Loser are ranked 9th,L,2037
22015,III,Round 3,W,2037
22016,R7,Loser are ranked 7th,L,2037
22017,R5,Loser are ranked 5th,L,2037
22018,SF,Semi-finals,W,2037
22019,F3,Final 3rd Place,F,2037
22020,F1,Final 1st Place,F,2037
22021,S,Semi-finals,S,2029
22022,F5,Final 5th Place,F,2029
22023,I,Round 1,W,2029
22024,PC,Pool C,C,2029
22025,F3,Final 3rd Place,F,2029
22026,LS,Loser Round,LS,2029
22027,PF,Pool F,F,2029
22028,PA,Pool A,A,2029
22029,III,Round 3,W,2029
22030,F1,Final 1st Place,F,2029
22031,II,Round 2,W,2029
22032,PD,Pool D,D,2029
22033,PG,Pool G,G,2029
22034,PB,Pool B,B,2029
22035,F7,Final 7th Place,F,2029
22036,PE,Pool E,E,2029
22037,PH,Pool H,H,2029
22038,S,Semi-finals,S,2030
22039,F5,Final 5th Place,F,2030
22040,I,Round 1,W,2030
22041,PC,Pool C,C,2030
22042,F3,Final 3rd Place,F,2030
22043,LS,Loser Round,LS,2030
22044,PF,Pool F,F,2030
22045,PA,Pool A,A,2030
22046,III,Round 3,W,2030
22047,F1,Final 1st Place,F,2030
22048,II,Round 2,W,2030
22049,PD,Pool D,D,2030
22050,PG,Pool G,G,2030
22051,PB,Pool B,B,2030
22052,F7,Final 7th Place,F,2030
22053,PE,Pool E,E,2030
22054,PH,Pool H,H,2030
22055,R7,Loser are ranked 7th,L,2501
22056,II,Round 2,W,2501
22057,III,Round 3,W,2501
22058,R5,Loser are ranked 5th,L,2501
22059,F3,Final 3rd Place,F,2501
22060,SF,Semi-finals,W,2501
22061,R13,Loser are ranked 13th,L,2501
22062,R9,Loser are ranked 9th,L,2501
22063,I,Round 1,W,2501
22064,F1,Final 1st Place,F,2501
22065,III,Round 3,W,2502
22066,II,Round 2,W,2502
22067,R9,Loser are ranked 9th,L,2502
22068,R7,Loser are ranked 7th,L,2502
22069,SF,Semi-finals,W,2502
22070,R5,Loser are ranked 5th,L,2502
22071,R13,Loser are ranked 13th,L,2502
22072,I,Round 1,W,2502
22073,F3,Final 3rd Place,F,2502
22074,F1,Final 1-2,F1,2469
22075,R1,Round 1,R1,2469
22076,F5,Loser NF ranked 5,F5,2469
22077,SF1,Semifinal 1,SF1,2469
22078,R2a,Round 2,R2a,2469
22079,SF2,Semifinal 2,SF2,2469
22080,R2b,Round 2,R2b,2469
22081,F1,Final 1-2,F1,2470
22082,R1,Round 1,R1,2470
22083,F5,Loser NF ranked 5,F5,2470
22084,SF1,Semifinal 1,SF1,2470
22085,R2a,Round 2,R2a,2470
22086,SF2,Semifinal 2,SF2,2470
22087,R2b,Round 2,R2b,2470
22088,F1,Final 1st place,F1,2471
22089,SF1,Semifinal 1,SF1,2471
22090,SF2,Semifinal 2,SF2,2471
22091,F4,Loser are ranked 4th,F4,2471
22092,F2,Final 2nd - 3rd place,F2,2471
22093,F1,Final 1st place,F1,2472
22094,SF1,Semifinal 1,SF1,2472
22095,SF2,Semifinal 2,SF2,2472
22096,F4,Loser are ranked 4th,F4,2472
22097,F2,Final 2nd - 3rd place,F2,2472
22098,F1,Final 1-2,F1,2473
22099,R1,Round 1,R1,2473
22100,F5,Loser NF ranked 5,F5,2473
22101,SF1,Semifinal 1,SF1,2473
22102,R2a,Round 2,R2a,2473
22103,SF2,Semifinal 2,SF2,2473
22104,R2b,Round 2,R2b,2473
22105,F1,Final 1-2,F1,2474
22106,R1,Round 1,R1,2474
22107,F5,Loser NF ranked 5,F5,2474
22108,SF1,Semifinal 1,SF1,2474
22109,R2a,Round 2,R2a,2474
22110,SF2,Semifinal 2,SF2,2474
22111,R2b,Round 2,R2b,2474
22112,F1,Final 1st Place,F,2502
22113,I,Round 1,W,1972
22114,PA,Pool A,A,1972
22129,PB,Pool B,B,1972
22130,PC,Pool C,C,1972
22131,PD,Pool D,D,1972
22132,PE,Pool E,E,1972
22133,PF,Pool F,F,1972
22134,PG,Pool G,G,1972
22135,PH,Pool H,H,1972
22136,I,Round 1,W,1972
22137,II,Round 2,W,1972
22138,III,Round 3,W,1972
22139,S,Semi-finals,S,1972
22140,F3,Final 3rd Place,F,1972
22141,F1,Final 1st Place,F,1972
22143,I,Round 1,W,1971
22144,PA,Pool A,A,1971
22159,PB,Pool B,B,1971
22160,PC,Pool C,C,1971
22161,PD,Pool D,D,1971
22162,PE,Pool E,E,1971
22163,PF,Pool F,F,1971
22164,PG,Pool G,G,1971
22165,PH,Pool H,H,1971
22166,I,Round 1,W,1971
22167,II,Round 2,W,1971
22168,III,Round 3,W,1971
22169,S,Semi-finals,S,1971
22170,F3,Final 3rd Place,F,1971
22171,F1,Final 1st Place,F,1971
22192,R7,Loser are ranked 7th,L,2540
22193,II,Round 2,W,2540
22194,III,Round 3,W,2540
22195,R5,Loser are ranked 5th,L,2540
22196,F3,Final 3rd Place,F,2540
22197,SF,Semi-finals,W,2540
22198,R13,Loser are ranked 13th,L,2540
22199,R9,Loser are ranked 9th,L,2540
22200,I,Round 1,W,2540
22201,F1,Final 1st Place,F,2540
22202,PC,Pool C,C,2541
22203,F1,Final 1st Place,F,2541
22204,PA,Pool A,A,2541
22205,F3,Final 3rd Place,F,2541
22206,SF,Semifinals,W,2541
22207,PD,Pool D,D,2541
22208,II,Quarterfinals,W,2541
22209,PB,Pool B,B,2541
22210,I,Round 1,W,2541
22211,PC,Pool C,C,2097
22212,PA,Pool A,A,2097
22213,SF,Semi-finals,W,2097
22214,I,Quarterfinals,W,2097
22215,PD,Pool D,D,2097
22216,F3,Final 3rd Place,F,2097
22217,PB,Pool B,B,2097
22218,L,Classification,L,2097
22219,I,Quarterfinals,W,2096
22220,F3,Final 3rd Place,F,2096
22221,PC,Pool C,C,2096
22222,PB,Pool B,B,2096
22223,PA,Pool A,A,2096
22224,SF,Semi-finals,W,2096
22225,L,Classification,L,2096
22226,F1,Final 1st Place,F,2096
22227,F1,Final 1st Place,F,2097
22244,PA,Pool A,A,1983
22245,PB,Pool B,B,1983
22246,PC,Pool C,C,1983
22247,PD,Pool D,D,1983
22248,PE,Pool E,E,1983
22249,PF,Pool F,F,1983
22250,PG,Pool G,G,1983
22251,PH,Pool H,H,1983
22252,I,Round 1,W,1983
22253,II,Round 2,W,1983
22254,III,Round 3,W,1983
22255,S,Semi-finals,S,1983
22256,F3,Final 3rd Place,F,1983
22257,F1,Final 1st Place,F,1983
22260,PA,Pool A,A,1984
22261,PB,Pool B,B,1984
22262,PC,Pool C,C,1984
22263,PD,Pool D,D,1984
22264,PE,Pool E,E,1984
22265,PF,Pool F,F,1984
22266,PG,Pool G,G,1984
22267,PH,Pool H,H,1984
22268,I,Round 1,W,1984
22269,II,Round 2,W,1984
22270,III,Round 3,W,1984
22271,S,Semi-finals,S,1984
22272,F3,Final 3rd Place,F,1984
22273,F1,Final 1st Place,F,1984
22277,I,Round 1,W,1983
22279,I,Round 1,W,1984
22282,I,Round 1,W,1986
22297,PA,Pool A,A,1986
22298,PB,Pool B,B,1986
22299,PC,Pool C,C,1986
22300,PD,Pool D,D,1986
22301,PE,Pool E,E,1986
22302,PF,Pool F,F,1986
22303,PG,Pool G,G,1986
22304,PH,Pool H,H,1986
22305,I,Round 1,W,1986
22306,II,Round 2,W,1986
22307,III,Round 3,W,1986
22308,S,Semi-finals,S,1986
22309,F3,Final 3rd Place,F,1986
22310,F1,Final 1st Place,F,1986
22312,PA,Pool A,A,1985
22313,PB,Pool B,B,1985
22314,PC,Pool C,C,1985
22315,PD,Pool D,D,1985
22316,PE,Pool E,E,1985
22317,PF,Pool F,F,1985
22318,PG,Pool G,G,1985
22319,PH,Pool H,H,1985
22320,I,Round 1,W,1985
22321,II,Round 2,W,1985
22322,III,Round 3,W,1985
22323,S,Semi-finals,S,1985
22324,F3,Final 3rd Place,F,1985
22325,F1,Final 1st Place,F,1985
22327,I,Round 1,W,1985
22393,I,Round 1,W,2558
22394,II,Round 2,W,2558
22395,R25,Losers are ranked 25th,L,2558
22396,R17,Losers are ranked 17th,L,2558
22397,III,Round 3,W,2558
22398,R13,Losers are ranked 13th,L,2558
22399,R9,Losers are ranked 9th,L,2558
22400,IIII,Round 4,W,2558
22401,R7,Losers are ranked 7th,L,2558
22402,R5,Losers are ranked 5th,L,2558
22403,S,Semi-finals,S,2558
22404,F3,Final 3rd Place,F,2558
22405,F1,Final 1st Place,F,2558
22484,I,Round 1,W,2559
22485,II,Round 2,W,2559
22486,R25,Losers are ranked 25th,L,2559
22487,R17,Losers are ranked 17th,L,2559
22488,III,Round 3,W,2559
22489,R13,Losers are ranked 13th,L,2559
22490,R9,Losers are ranked 9th,L,2559
22491,IIII,Round 4,W,2559
22492,R7,Losers are ranked 7th,L,2559
22493,R5,Losers are ranked 5th,L,2559
22494,S,Semi-finals,S,2559
22495,F3,Final 3rd Place,F,2559
22496,F1,Final 1st Place,F,2559
22513,I,Round of 16,W,2503
22514,I,Round 1,W,1987
22515,II,Round 2,W,1987
22516,PC,Pool C,C,2503
22517,II,Quarterfinals,W,2503
22518,F1,Final 1st Place,F,2503
22519,PF,Pool F,F,2503
22520,PA,Pool A,A,2503
22521,F3,Final 3rd Place,F,2503
22522,SF,Semi-finals,W,2503
22523,PD,Pool D,D,2503
22524,II,Quarterfinals,W,2503
22525,PG,Pool G,G,2503
22526,PB,Pool B,B,2503
22527,I,Round of 16,W,2503
22528,PH,Pool H,H,2503
22529,PE,Pool E,E,2503
22530,PA,Pool A,A,1987
22531,PB,Pool B,B,1987
22532,PC,Pool C,C,1987
22533,PD,Pool D,D,1987
22534,PE,Pool E,E,1987
22535,PF,Pool F,F,1987
22536,PG,Pool G,G,1987
22537,PH,Pool H,H,1987
22538,I,Round 1,W,1987
22539,II,Round 2,W,1987
22540,III,Round 3,W,1987
22541,S,Semi-finals,S,1987
22542,F3,Final 3rd Place,F,1987
22543,F1,Final 1st Place,F,1987
22544,PA,Round Robin,A,2543
22545,PA,Round Robin,A,2542
22546,PA,Round Robin,A,2544
22547,PC,Pool C,C,2567
22548,PA,Pool A,A,2567
22549,F3,Final 3rd Place,F,2567
22550,SF,Semifinals,W,2567
22551,PD,Pool D,D,2567
22552,F1,Final 1st Place,F,2567
22553,PB,Pool B,B,2567
22554,I,Quarterfinals,W,2567
22555,PC,Pool C,C,2566
22556,PA,Pool A,A,2566
22557,F3,Final 3rd Place,F,2566
22558,SF,Semifinals,W,2566
22559,PD,Pool D,D,2566
22560,F1,Final 1st Place,F,2566
22561,PB,Pool B,B,2566
22562,I,Quarterfinals,W,2566
22563,I,Quarterfinals,W,2566
22574,I,Round 1,W,2560
22575,II,Round 2,W,2560
22576,R13,Loser are ranked 13th,L,2560
22577,R9,Loser are ranked 9th,L,2560
22578,III,Round 3,W,2560
22579,R7,Loser are ranked 7th,L,2560
22580,R5,Loser are ranked 5th,L,2560
22581,SF,Semi-finals,W,2560
22582,F3,Final 3rd Place,F,2560
22583,F1,Final 1st Place,F,2560
22794,I,Round 1,W,2568
22795,II,Round 2,W,2568
22796,R13,Loser are ranked 13th,L,2568
22797,R9,Loser are ranked 9th,L,2568
22798,III,Round 3,W,2568
